item,itemLabel,position,positionLabel,startDate,endDate
Q57883,Augustin Matata Ponyo,,Premier ministre,,
Q3592729,Évariste Boshab,,Intérieur et Sécurité,,
Q18649355,Thomas Luhaka,,Postes et télécommunications (PT) et Nouvelles technologies de l’information et de la communication (NTIC),,
Q19545075,Willy Makiashi,,"Emploi, Travail et Prévoyance sociale",,
Q18642480,Michel Bongongo,,Décentralisation et Affaires coutumières,,
Q2424586,Salomon Banamuhere Baliene,,Décentralisation et Affaires coutumières,,
Q18642479,Bolengetenge Balela,,Affaires Foncières,,
Q56779011,Gustave Boloko Nkeli,,Affaires Foncières,,
Q3421171,Raymond Tshibanda,,"Affaires étrangères, Coopération internationale",,
Q19631190,Bijou Mushitu Kat,,"Affaires sociales et action humanitaire :aussi ministre ad interim du Genre, de la Famille et des Enfants",,
Q101412106,Adèle Degbalase Kanda,,Affaires sociales et action humanitaire,,
Q19631175,Isidore Kabwe Mwehu,,"Agriculture, Pêche et Élevage",,
Q106904386,Émile Mota Ndongo Kang,,"Agriculture, Pêche et Élevage",,
Q18642583,Omer Egwake,,"Aménagement du territoire, Urbanisme et Habitat",,
Q19631177,Kudianga Bayokisa,,Commerce,,
Q178793,Lambert Mende Omalanga,,Communication et Médias,,
Q2883576,Banza Mukalay,,Culture et Arts,,
Q18681696,Aimé Ngoy Mukena,,Défense nationale et Anciens combattants,,
Q3002789,Crispin Atama Tabe,,Défense nationale et Anciens combattants,,
Q19631179,Eugène Serufuli,,Développement rural,,
Q19543886,Modeste Bahati Lukwebo,,Économie nationale,,
Q19631182,Jeannot Matadi Nenga,,Énergie et Ressources hydrauliques,,
Q3280754,Maker Mwangu,,"Enseignement primaire, secondaire et initiation à la nouvelle citoyenneté",,
Q3526676,Théophile Mbemba Fundu,,Enseignement supérieur et universitaire,,
Q19631184,Jean Nengbaga Tshibanga,,Enseignement technique et professionnel,,
Q19631188,Bienvenu Liyota Ndjoli,,Environnement et Développement durable,,
Q106904372,Robert Bopolo Bogeza,,Environnement et Développement durable,,
Q19631192,Henri Yav Mulang,,Finances,,
Q19631195,Jean-Claude Kibala,,Fonction publique,,
Q107189605,Pascal Isumbisho Mwapu,,Fonction publique,,
Q19631190,Bijou Mushitu Kat,,"Genre, Famille et Enfants",,
Q96436683,Lucie Kipele Aki Azwa,,"Genre, Famille et Enfants",,
Q3002789,Crispin Atama Tabe,,Hydrocarbures,,
Q18681696,Aimé Ngoy Mukena,,Hydrocarbures,,
Q28086239,Germain Kambinga,,Industrie,,
Q3087663,Fridolin Kasweshi,,"Infrastructures, Travaux publics et de la Reconstruction (ITPR)",,
Q105523479,Sama Lukonde Kyenge,,"Jeunesse, Sports et Loisirs",,
Q108385607,Denis Kambayi Tshimbumbu,,"Jeunesse, Sports et Loisirs",,
Q2834659,Alexis Thambwe Mwamba,,"Justice, Garde des sceaux et Droits humains",,
Q3295482,Martin Kabwelulu,,Mines,,
,Bohongo Nkoyi,,Petites et moyennes entreprises (PME) et Classes moyennes,,
Q3351121,Olivier Kamitatu,,Plan et Révolution de la modernité,,
Q108809322,Georges Wembi Loambo,,Plan et Révolution de la modernité,,
Q3263804,Louise Munga,,Portefeuille,,
,Daniel Madimba Kalonji,,Recherche scientifique et Technologie,,
Q19629172,Tryphon Kin-Kiey Mulumba,,Relations avec le Parlement,,
Q19544597,Félix Kabange,,Santé publique,,
,Elvis Mutiri wa Bashara,,Tourisme,,
Q3190458,Justin Kalumba Mwana Ngongo,,Transport et Voies de communications,,
